"","title","year","date_published","genre","duration","country","language","avg_vote","votes"
"12","Fantômas - À l'ombre de la guillotine","1913","1913-05-12","Crime, Drama",54,"France","French",7,1944
"14","Juve contre Fantômas","1913","1913-09-08","Crime, Drama",61,"France","French",7,1349
"15","Ma l'amor mio non muore...","1914","1914-01-01","Drama",90,"Italy","Italian",6.2,100
"18","Amore di madre","1914","1914-05-17","Drama",55,"USA","English",5.8,187
"20","Traffic in Souls","1913","1913-11-24","Crime, Drama",88,"USA","English",6,552
"22","Assunta Spina","1915","1916-05-01","Drama",72,"Italy","",6.4,378
"27","L'enfant de Paris","1913","1913-09-17","Crime, Drama",124,"France","French",7.5,303
"28","Fantômas contre Fantômas","1914","1914-01-10","Crime, Drama",59,"France","French",6.9,1161
"29","A Florida Enchantment","1914","1916-09-04","Comedy",63,"USA","English",5.8,202
"30","Der Golem","1915","1915-04-08","Horror",60,"Germany","German",6.8,1040
"33","Hypocrites","1915","1915-01-20","Drama",54,"USA","English",6.6,456
"35","Judith of Bethulia","1914","1914-03-08","Drama",61,"USA","English",6.1,1239
"39","La madonnina del porto","1914","1914-03-30","Drama",80,"USA","English",6.1,178
"40","Tillie's Punctured Romance","1914","1914-12-21","Comedy",82,"USA","None, English",6.3,3250
"42","Uncle Tom's Cabin","1914","1914-08-10","Drama",54,"USA","",5.3,112
"44","The Wishing Ring: An Idyll of Old England","1914","1914-11-09","Comedy, Drama",54,"USA","English",6.4,242
"45","The Wrath of the Gods","1914","1914-06-08","Drama, Romance",56,"USA","English",5.7,138
"46","Alias Jimmy Valentine","1915","1915-02-22","Crime, Drama",65,"USA","English",6.6,206
"49","Carmen","1915","1915-10-31","Drama",59,"USA","English",6.4,894
"50","The Cheat","1915","1915-12-13","Drama, Romance",59,"USA","English",6.6,2305
"52","La vampira","1915","1915-01-12","Drama",67,"USA","English",5.8,783
"53","The Golden Chance","1915","1915-12-30","Drama",74,"USA","English",6.4,187
"55","The Italian","1915","1915-01-01","Drama",72,"USA","English",6.6,293
"58","The Nigger","1915","1915-03-29","Drama",50,"USA","English",6.1,300
"63","Young Romance","1915","1915-01-21","Comedy",59,"USA","English",5.9,151
"65","The Children in the House","1916","1916-04-30","Drama",50,"USA","English",4.5,559
"66","Civilization","1915","1916-06-02","Drama",85,"USA","English",6,283
"67","The Devil's Needle","1916","1916-08-13","Drama",59,"USA","English",6.8,123
"70","Going Straight","1916","1916-06-04","Crime, Drama",60,"USA","English",5.3,609
"75","His Picture in the Papers","1916","1916-02-13","Comedy",62,"USA","English",5.9,127
"83","Schuhpalast Pinkus","1916","1916-05-01","Comedy",45,"Germany","German",5.6,183
"85","Shoes","1916","1916-06-26","Drama",60,"USA","English",6.8,342
"87","The Social Secretary","1916","1916-09-17","Comedy, Drama",52,"USA","English",5.3,509
"89","Where Are My Children?","1916","1916-05-01","Drama",62,"USA","English",6.3,591
"93","Furcht","1917","1917-11-12","Horror",72,"Germany","",6.1,129
"94","A Girl's Folly","1917","1917-02-26","Comedy",65,"USA","",6.1,135
"98","The Little Princess","1917","1917-11-11","Drama",62,"USA","English",5.7,638
"99","Desiderata","1917","1917-03-07","Drama",80,"France","",6.4,109
"104","Rebecca of Sunnybrook Farm","1917","1917-09-22","Comedy, Drama",78,"USA","English",6.1,770
"111","Tillie Wakes Up","1917","1917-01-29","Comedy",48,"USA","",4.8,481
"121","Sangue gitano","1918","1918-12-20","Drama",70,"Germany","German",6,267
"122","La decima sinfonia","1918","1918-11-01","Drama",94,"France","French",5.9,134
"123","L'allegra prigione","1917","1917-11-30","Comedy",48,"Germany","German",6.2,515
"124","The Forbidden City","1918","1918-10-06","Drama, Romance",62,"USA","English",5.4,281
"128","M'Liss","1918","1918-05-05","Comedy, Drama",73,"USA","English",6.5,119
"129","The Married Virgin","1918","1918-12-01","Drama",71,"USA","English",5.2,616
"130","Mickey","1918","1918-08-01","Comedy, Drama",93,"USA","English",5.9,1061
"131","Old Wives for New","1918","1918-05-19","Drama",60,"USA","English",6.4,178
"133","A Romance of Happy Valley","1919","1919-01-26","Drama, Romance",76,"USA","English",6.1,341
"134","Shifting Sands","1918","1918-08-01","Drama",60,"USA","English",5.1,697
"136","Stella Maris","1918","1918-01-21","Drama",84,"USA","",6.7,1360
"140","The Whispering Chorus","1918","1918-03-28","Drama",86,"USA","English",6.8,262
"143","La principessa delle ostriche","1919","1920-05-03","Comedy",60,"Germany","German",7.2,1631
"147","Mariti ciechi","1919","1924-02-06","Drama, Romance",99,"USA","English",7,1325
"148","Giglio infranto","1919","1923-02-23","Drama, Romance",90,"USA","",7.3,9241
"150","Daddy-Long-Legs","1919","1919-05-11","Comedy, Drama",85,"USA","English",6.5,1306
"151","The Delicious Little Devil","1919","1919-05-01","Comedy, Drama",63,"USA","English",5.9,814
"152","Don't Change Your Husband","1919","1919-01-26","Comedy",71,"USA","",6.6,1122
"153","Eyes of Youth","1919","1919-11-30","Drama",78,"USA","English",5.3,646
"154","For Better, for Worse","1919","1919-04-27","Drama",70,"USA","English",5.4,697
"155","Getting Mary Married","1919","1919-04-19","Comedy",65,"USA","English",6.5,203
"156","The Greatest Question","1919","1919-12-28","Drama",80,"USA","English",5.8,671
"158","Harakiri","1919","1920-12-06","Drama",80,"Germany","Dutch",5.6,553
"160","Heart o' the Hills","1919","1919-11-30","Drama, Romance",87,"USA","English",5.6,510
"162","The Hoodlum","1919","1919-08-31","Comedy",78,"USA","English",6.7,929
"168","Meyer il berlinese","1919","1919-01-17","Comedy",58,"Germany","German",6,172
"169","The Miracle Man","1919","1919-08-26","Drama",80,"USA","English",6.6,145
"170","The Mother and the Law","1919","1919-08-18","Drama",95,"USA","",6.9,166
"181","Victory","1919","1919-12-07","Drama, Romance",62,"USA","English",6.6,331
"185","Yankee Doodle in Berlin","1919","1919-03-02","Comedy",58,"USA","English",5.5,722
"194","The Flapper","1920","1920-05-10","Comedy",88,"USA","English",6.6,291
"196","Genuine","1920","1921-12-12","Horror",88,"Germany","German",6,848
"199","L'Hirondelle et la Mésange","1924","1924-06-05","Drama",80,"France","French",7.1,165
"200","La giustizia del mare","1920","1920-12-03","Drama",86,"France","French",6.9,187
"201","Humoresque","1920","1920-05-30","Drama",60,"USA","",6.2,135
"202","L'uomo dal coltello a serramanico","1920","1920-08-01","Drama",60,"USA","English",6.2,105
"204","Der Klosterjäger","1920","1920","Drama",70,"Germany","",6,113
"209","The Love Flower","1920","1920-08-22","Drama",70,"USA","English",5.9,105
"213","Nomads of the North","1920","1920-09-26","Drama",109,"USA","",5.7,189
"216","The Restless Sex","1920","1920-09-12","Drama",70,"USA","English",6.1,149
"217","Romeo e giulietta sulla neve","1920","1920-03-12","Comedy",45,"Germany","German",6.5,153
"219","The Saphead","1920","1920-09-20","Comedy",77,"USA","",6.1,1402
"220","Sex","1920","1920-09-14","Drama",87,"USA","",6,265
"221","Something to Think About","1920","1920-10-17","Drama",78,"USA","",5.2,575
"227","Von morgens bis mitternachts","1920","1920","Drama, Thriller",65,"Germany","German",6.9,425
"229","Agonia sui ghiacci","1920","1926-05-15","Drama, Romance",145,"USA","",7.4,4961
"230","Why Change Your Wife?","1920","1921-04-11","Comedy, Drama",90,"USA","English",6.7,1321
"231","Within Our Gates","1920","1920-01-12","Drama, Romance",79,"USA","",6.3,2465
"234","Fragilità, sei femmina!","1921","1921-09-25","Comedy, Drama",117,"USA","",6.6,1208
"235","Be My Wife","1921","1921-11-06","Comedy",55,"USA","English",6.9,364
"237","The Blot","1921","1921-09-04","Drama, Romance",91,"USA","English",6.8,497
"239","Camille","1921","1921-09-26","Drama, Romance",72,"USA","English",6.6,875
"240","La commedia umana","1921","1921-07-08","Drama, Romance",89,"USA","",6.8,415
"243","Eldorado","1921","1921-10-28","Drama",100,"France","French",7,362
"244","Enchantment","1921","1921-10-30","Comedy",90,"USA","English",6.4,268
"245","Forbidden Fruit","1921","1921-01-23","Drama",87,"USA","",6.5,123
"247","Amleto","1921","1921-01-27","Drama",131,"Germany","German",7,382
"248","Hintertreppe","1921","1922-02-04","Drama",50,"Germany","German",6.8,209
"254","Leap Year","1924","1924-01-11","Comedy",56,"USA","English",6.1,268
"255","Little Lord Fauntleroy","1921","1921-09-15","Drama",112,"USA","English",6.7,276
"256","The Love Light","1921","1921-01-09","Drama",89,"USA","English",6.5,338
"257","Miss Lulu Bett","1921","1921-11-01","Comedy, Drama",71,"USA","",7,311
"258","My Boy","1921","1921-12-01","Comedy, Drama",55,"USA","English",6.2,237
"263","Rojô no reikion","1921","1921-04-08","Drama",91,"Japan","Japanese",6.7,130
"264","A Sailor-Made Man","1921","1921-12-25","Comedy",47,"USA","None, English",6.9,941
"265","Sappho","1921","1922-01-02","Drama",82,"Germany","",6.8,123
"266","Scherben","1921","1921-05-27","Drama",50,"Germany","German",6.4,217
"269","The Sky Pilot","1921","1921-04-17","Drama",77,"USA","",5.8,109
"270","La terre","1921","1926-07-15","Drama",97,"France","French",6.9,135
"272","Through the Back Door","1921","1921-05-05","Comedy, Drama",89,"USA","English",6.8,163
"273","La pazienza di Davide","1921","1921-12-31","Drama",99,"USA","",6.8,1722
"274","Too Wise Wives","1921","1921-05-22","Drama",80,"USA","English",5.9,133
"275","Vier um die Frau","1921","1921-02-03","Drama",52,"Germany","German",6.2,323
"276","Beauty's Worth","1922","1922-05-14","Drama, Romance",112,"USA","English",6.1,766
"277","L'età di amare","1922","1922-05-07","Drama, Romance",80,"USA","",6.7,2216
"279","La terra che brucia","1922","1922-04-24","Drama",98,"Germany","",6.9,566
"285","La femme de nulle part","1922","1922-07-26","Drama",61,"France","French",6.5,118
"286","Flesh and Blood","1922","1922-08-27","Drama",74,"USA","",6.2,151
"287","Femmine folli","1922","1922-01-11","Drama, Thriller",117,"USA","Latin, French, English",7,3072
"288","Gli stigmatizzati","1922","1922-02-07","Drama",105,"Germany","German",6.5,360
"291","Lorna Doone","1922","1923-09-17","Drama, Romance",70,"USA","",6.7,268
"293","Manslaughter","1922","1922-09-24","Drama",100,"USA","",6.2,415
"294","Donne viennesi","1923","1923-09-03","Drama",110,"USA","English",6.6,293
"295","Monte Cristo","1922","1922-09-03","Drama, Romance",100,"USA","",6.7,333
"299","Oliver Twist","1922","1922-10-30","Drama",98,"USA","English",6.7,706
"300","Othello","1922","1922-09-17","Drama, Romance",79,"Germany","German",6.4,233
"301","Fantasma","1922","1922-11-13","Drama, Romance",125,"Germany","German",6.9,1528
"307","The Seventh Day","1922","1922-02-06","Drama, Romance",60,"USA","",5.9,101
"308","Shadows","1922","1922-11-10","Drama",70,"USA","English",6.3,365
"312","Tess of the Storm Country","1922","1922-11-12","Drama, Romance",137,"USA","English",6.9,418
"315","The Trap","1922","1922-05-09","Drama",60,"USA","English",6,118
"320","Das alte Gesetz","1923","1923-10-29","Drama",128,"Germany","German",6.8,119
"321","Ladro d'amore","1923","1923-10-21","Drama",70,"USA","English",5.2,319
"322","Cuore fedele","1923","1923-11-23","Drama, Romance",87,"France","French",7.5,1103
"331","Il pellegrino","1923","1927-05-06","Comedy",47,"USA","None, English",7.4,4261
"332","Raskolnikow","1923","1924-10-31","Drama",135,"Germany","",6.8,253
"334","La rosa sulle rotaie","1923","1923-02-17","Drama",418,"France","English, French",7.5,1889
"336","Scaramouche","1923","1924-02-01","Drama, Romance",124,"USA","None, English, French",7,533
"337","Il tesoro","1923","1924","Drama, Romance",80,"Germany","German",6.7,248
"338","The Shock","1923","1923-06-10","Drama",96,"USA","English",6.5,375
"340","Die Straße","1923","1923-11-29","Drama",74,"Germany","German",7,347
"341","La notte di San Silvestro","1924","1924-01-03","Drama",66,"Germany","German",6.2,134
"343","Senti, amore mio","1923","1928-08-16","Comedy",63,"USA","",7.1,3949
"345","The White Rose","1923","1923-05-21","Drama, Romance",100,"USA","English",6.4,157
"346","La suora bianca","1923","1923-09-05","Drama, Romance",143,"USA","English",6.8,390
"349","La donna di Parigi","1923","1927-06-06","Drama, Romance",82,"USA","None, English",7,4735
"355","Captain January","1924","1924-07-06","Drama",64,"USA","English",6.9,208
"359","The Enchanted Cottage","1924","1924-03-24","Drama",70,"USA","English",6.5,611
"360","The Family Secret","1924","1924-09-28","Drama",70,"USA","English",6.3,119
"361","La fille de l'eau","1925","1925-03-20","Drama, Romance",71,"France","French",6.8,530
"362","Finanze del granduca","1924","1924-04-13","Comedy",80,"Germany","German",6.4,741
"363","La zarina","1924","1924-11-30","Comedy",69,"USA","",6.1,125
"367","Il re degli scapoli","1924","1924-10-26","Comedy",53,"USA","None, English",7.2,1210
"370","Isn't Life Wonderful","1924","1924-12-05","Drama, Romance",115,"USA","English",6.9,292
"372","Kean","1924","1924-02-15","Drama",136,"France","",6.7,145
"373","L'ultima risata","1924","1926","Drama",77,"Germany","",8.1,12157
"375","Matrimonio in quattro","1924","1927-02-06","Comedy",85,"USA","",7.2,1061
"376","Michael","1924","1924-11-17","Drama, Romance",93,"Germany","",7.1,1540
"377","Monsieur Beaucaire","1924","1924-08-11","Drama, Romance",106,"USA","English",5.7,447
"382","Open All Night","1924","1924-10-13","Comedy",64,"USA","English",4.7,104
"387","The Red Lily","1924","1924-09-08","Drama",81,"USA","None",7.1,415
"390","Secrets","1924","1924-03-24","Drama",108,"USA","English",5.5,220
"394","L'ombra bianca","1924","1924-10-13","Drama",82,"UK","English",6.3,200
"395","Arance selvatiche","1924","1924-01-20","Drama, Romance",88,"USA","English",6.8,430
"396","Il vino della giovinezza","1924","1924-09-15","Comedy, Drama",72,"USA","English",5.9,310
"400","Body and Soul","1925","1925-11-09","Drama",102,"USA","English",6.2,767
"403","The Circle","1925","1925-09-22","Drama",71,"USA","English",6.3,491
"405","Cobra","1925","1925-11-30","Drama, Romance",70,"USA","English",6.4,681
"410","Il fu Mattia Pascal","1926","1926-02-12","Drama",170,"France","French",7.1,310
"412","La via senza gioia","1925","1926-03-22","Drama",125,"Germany","German",7.2,1348
"413","Furusato no uta","1926","1926-09-17","Drama",45,"Japan","",5.8,100
"417","The Goose Woman","1925","1925-12-27","Drama",80,"USA","English",6.9,151
"419","Gribiche","1926","1926-04-02","Drama",113,"France","French",6.9,225
"420","Her Sister from Paris","1925","1925-08-02","Comedy",70,"USA","English",6.5,151
"422","Il ventaglio di Lady Windermere","1925","1927-04-08","Comedy",120,"USA","English",7.3,978
"423","Lady of the Night","1925","1925-02-23","Drama, Romance",70,"USA","English",6.6,544
"424","The Lady","1925","1925-02-08","Drama",96,"USA","",5,125
"426","Lights of Old Broadway","1925","1925-11-01","Drama, Romance",70,"USA","English",6,448
"430","La vedova allegra","1925","1926-01-25","Drama, Romance",137,"USA","",7.3,2126
"432","The Mystic","1925","1925-09-27","Drama",70,"USA","English",6.4,105
"436","Il fantasma dell'opera","1925","1925-11-15","Horror",93,"USA","",7.6,16255
"439","Poil de carotte","1925","1926-02-26","Drama",108,"France","French",7,190
"441","Pretty Ladies","1925","1925-09-06","Comedy, Drama",74,"USA","English",3.7,132
"446","Zingaresca","1925","1925-08-02","Comedy",104,"USA","English",6.6,483
"447","Sally, Irene and Mary","1925","1925-12-27","Comedy, Drama",58,"USA","English",3.8,132
"448","The Salvation Hunters","1925","1925-02-15","Drama",70,"USA","",6.7,322
"451","Soul-Fire","1925","1925-05-31","Drama",88,"USA","English",4.1,112
"453","Stage Struck","1925","1925-11-16","Comedy",70,"USA","English",6.5,831
"454","Stella Dallas","1925","1925-11-16","Drama",110,"USA","English",7.2,277
"463","A Woman of the World","1925","1925-12-28","Comedy, Drama",70,"USA","",6.9,123
"466","L'erede dei Grishus","1925","1929-06-01","Drama",110,"Germany","",6.6,123
"467","Bardelys il magnifico","1926","1926-09-30","Drama, Romance",90,"USA","English",7,1050
"477","La Bohème","1926","1926-03-13","Drama, Romance",95,"USA","",7.3,1427
"481","Dancing Mothers","1926","1926-03-01","Drama",66,"USA","English",6.6,142
"487","Le disgrazie di adamo","1926","1926-08-22","Comedy",70,"USA","English",6.4,208
"488","Fine Manners","1926","1926-08-29","Comedy",70,"USA","",5.8,770
"489","La carne e il diavolo","1926","1926-12-25","Drama, Romance",112,"USA","",7.6,3901
"491","Geheimnisse einer Seele","1926","1927-04-11","Drama",97,"Germany","German",6.9,632
"494","La montagna dell'amore","1926","1926-11-01","Drama",100,"Germany","German",6.7,675
"495","His First Flame","1927","1927-05-03","Comedy",48,"USA","English",6,127
"498","Kiki","1926","1926-04-04","Comedy",108,"USA","English",6.7,399
"499","Una pagina di follia","1926","1926-09-24","Drama, Thriller",70,"Japan","Japanese",7.4,2758
"504","Mantrap","1926","1926-07-24","Comedy",86,"USA","English",6.8,309
"509","My Lady of Whims","1925","1925-12-01","Comedy",59,"USA","English",5.7,101
"511","Nanà","1926","1926-06-25","Drama, Romance",150,"France","French",6.8,682
"516","The Road to Mandalay","1926","1926-06-28","Drama",70,"USA","English",6.6,150
"518","La lettera rossa","1926","1927-01-08","Drama",115,"USA","English",7.7,1542
"522","The Show-Off","1926","1926-08-16","Comedy, Drama",82,"USA","English",6.8,245
